# Generated with generate_timeseries.py on 2020-11-10
# Subset of measurements of the velocity of a turbulent jet made in a wind tunnel at ENS de Lyon, by Christophe Baudet and Antoine Naert.
# Measurement frequency is 23000.0Hz.
#
0.0,3.4651499
4.347826086956522e-05,3.4155881
8.695652173913044e-05,3.368413
0.00013043478260869564,3.325677
0.00017391304347826088,3.2872996
0.0002173913043478261,3.2561264
0.0002608695652173913,3.2321136
0.0003043478260869565,3.2182667
0.00034782608695652176,3.2101114
0.000391304347826087,3.20932
0.0004347826086956522,3.2131736
0.0004782608695652174,3.2180698
0.0005217391304347826,3.2210135
0.0005652173913043478,3.2254922
0.000608695652173913,3.2220478
0.0006521739130434783,3.2172623
0.0006956521739130435,3.2014713
0.0007391304347826087,3.1835377
0.000782608695652174,3.1558094
0.0008260869565217392,3.1230292
0.0008695652173913044,3.0845869
0.0009130434782608696,3.0406601
0.0009565217391304348,2.995272
0.001,2.9493384
0.0010434782608695651,2.9100924
0.0010869565217391304,2.8762074
0.0011304347826086956,2.8553498
0.0011739130434782609,2.842978
0.001217391304347826,2.841292
0.0012608695652173913,2.8468792
0.0013043478260869566,2.8530536
0.0013478260869565217,2.8587465
0.001391304347826087,2.8598008
0.0014347826086956522,2.8575184
0.0014782608695652175,2.854276
0.0015217391304347826,2.8463502
0.001565217391304348,2.8381913
0.001608695652173913,2.8357182
0.0016521739130434783,2.839502
0.0016956521739130434,2.8527732
0.0017391304347826088,2.8800602
0.0017826086956521739,2.9224021
0.0018260869565217392,2.9714682
0.0018695652173913043,3.0200126
0.0019130434782608696,3.0580215
0.001956521739130435,3.0725603
0.002,3.0692844
0.002043478260869565,3.0573833
0.0020869565217391303,3.0437675
0.002130434782608696,3.0298994
0.002173913043478261,3.0180697
0.002217391304347826,3.0123873
0.002260869565217391,3.0158584
0.0023043478260869566,3.0259798
0.0023478260869565218,3.0433135
0.002391304347826087,3.06157
0.002434782608695652,3.082586
0.0024782608695652175,3.1030822
0.0025217391304347826,3.129549
0.0025652173913043477,3.1474771
0.0026086956521739132,3.1677003
0.0026521739130434784,3.1879973
0.0026956521739130435,3.2016997
0.0027391304347826086,3.2160773
0.002782608695652174,3.2282686
0.002826086956521739,3.2445807
0.0028695652173913043,3.2709327
0.0029130434782608694,3.3092637
0.002956521739130435,3.362703
0.003,3.426673
0.003043478260869565,3.49469
0.0030869565217391303,3.5532084
0.003130434782608696,3.6041715
0.003173913043478261,3.639772
0.003217391304347826,3.666445
0.003260869565217391,3.6832533
0.0033043478260869567,3.699935
0.0033478260869565218,3.7119546
0.003391304347826087,3.7374716
0.003434782608695652,3.779183
0.0034782608695652175,3.803714
0.0035217391304347826,3.830916
0.0035652173913043477,3.8460226
